Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
If you post one piece of content every single day for the next year you will not have to worry about money. This is what I kept seeing all over TikTok last year.,If you [X simple action] for the next year you will not have to worry about [Y concern]. This is what I kept seeing all over [Z platform] last year,Fortuneteller,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7455436458237938990,Content Marketing,Education,2,"995,300"
"My goal that by the end of this video, you fully understand the Facebook ad serving algorithm and understand the levers that you have in order to manipulate it.","My goal that by the end of this video, you fully understand [X system] and understand the levers that you have in order to [Y control it]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7461336895675518251,Content Marketing,Education,3,"975,800"
"I'm honestly such a lazy media buyer. I hate doing manual work. I look for tools and shortcuts to save me time wherever I can. I just found a tool that's like CapCut on steroids, and technically it shares the same name, but it's a completely different product.",I'm honestly such a lazy [X profession]. I hate doing [Y work]. I look for tools and shortcuts to save me time wherever I can. I just found a tool that's like [Z tool] on steroids,Secret Reveal,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7436855818219162910,Content Marketing,Education,4,"748,200"
ChatGPT Pro just paid for itself in five minutes.,[X tool] just paid for itself in [Y time],Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7447620721863347499,Tech,Entertainment,6,"406,900"
"Would you pay $200 a month to have unlimited access to a PhD above level intelligence that knew absolutely everything in the world? That could write for you, code for you, and like literally build products for you?",Would you pay $[X price] a month to have unlimited access to [Y capabilities]?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7447636648784956715,Tech,Entertainment,7,"377,400"
ChatGPT just told me to wait 10 minutes.,[X AI] just told me to [Y unexpected response],Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X shocking thing],Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7501069081647353134,Tech,Entertainment,8,"252,500"
Combining ChatGPT with Make.com allows you to build any automation that you can dream of.,Combining [X tool] with [Y tool] allows you to build any [Z capability] that you can dream of,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@mr.paidsocial/video/7407257762297793838,Tech,Education,10,"210,300"
"Just a few days ago, we used AI to launch a swimsuit company to see if we could go from zero to 50,000 in revenue in just 120 days.","Just a few days ago, we used AI to launch [X business] to see if we could go from zero to [Y revenue] in just [Z time]",Experimentation,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7241329643565894955,Content Marketing,Education,1,"3,200,000"
Generative AI will completely change how movies are made. Check this out.,[X technology] will completely change how [Y industry] are made. Check this out,Fortuneteller,Subject in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7197915438720896299,Tech,Education,2,"1,600,000"
I don't blame you for not knowing all these updates that have happened over the past few weeks in the world of AI.,I don't blame you for not knowing all these updates that have happened over the past [X time] in the world of [Y],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7237138652889992490,Tech,Education,3,"1,500,000"
"If you need to create a presentation, check out this tool because it does it using AI in seconds","If you need to create [X task], check out this tool because it does it using AI in seconds",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X subject] does [Y thing],Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7185965988364455214,Tech,Education,4,"1,500,000"
So another AI company that you should be aware of is RunwayML. Think of it like Adobe except for beginners.,So another AI company that you should be aware of is [X company]. Think of it like [Y known brand] except for [Z audience],Secret Reveal,Subject in B-Roll,B-Roll - None,Full screen B-roll,None,None,No Motion,Music only,Mysterious Music,https://www.tiktok.com/@jimmyslags_/video/7182974176259738926,Tech,Education,5,"1,400,000"
"Just when you think you've seen it all with AI, someone came out with a tool called Riz AI and it helps you unleash the power of infinite Riz. Wow.","Just when you think you've seen it all with AI, someone came out with a tool called [X] and it helps you [Y benefit]",Raw Shock,Subject in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7184551864468360490,Tech,Entertainment,6,"1,300,000"
"Alright this is cool. You can now take a product image and generate an avatar where that product image and get a 360 video of the avatar showcasing that product, all using AI","Alright this is cool. You can now take [X input] and generate [Y output] showcasing [Z], all using AI",Educational/Tutorial,Subject in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7449054167848504606,Tech,Education,7,"1,200,000"
This is probably the craziest AI tool that I've seen yet.,This is probably the [X superlative] AI tool that I've seen yet,Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7176847485904719150,Tech,Entertainment,8,"810,600"
"So if you ever have to do any financial reporting, this AI tool will change your life.","So if you ever have to do any [X task], this AI tool will change your life",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7177042353473981738,Tech,Education,9,"560,200"
"Alright, for anyone that loves design, you have to check out this AI tool.","Alright, for anyone that loves [X interest], you have to check out this AI tool",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@jimmyslags_/video/7176774719264394539,Tech,Education,10,"371,500"
Customer testimonials are not enough to build a creative strategy that converts. What you really need is this kind of information.,[X common tactic] are not enough to [Y goal]. What you really need is [Z better approach],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7447176499444108574,Content Marketing,Education,1,"829,400"
I've spent over 100 million dollars on Facebook ads and these are the ad creatives I always make,I've spent over [X amount] on [Y platform] ads and these are the [Z creatives] I always make,Secret Reveal,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7278339582884646187,Content Marketing,Education,3,"294,500"
I love these grid style ads. This is something that worked during the print era and still works today on meta ads.,I love these [X ad format]. This is something that worked during [Y era] and still works today on [Z platform],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,None,None,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7423014409838136606,Content Marketing,Education,4,"188,200"
This is the easiest copywriting hack for advertising. I learned this from Ogilvy's on advertising and literally any brand or business can benefit from this.,This is the easiest [X skill] hack for [Y purpose]. I learned this from [Z source] and literally any [audience] can benefit from this,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7394841357908462878,Content Marketing,Education,5,"168,000"
This is a bad ad. And so is this one. And this one as well. Can you guess why?,This is a bad [X]. And so is this one. And this one as well. Can you guess why?,Question,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7341431565202869546,Content Marketing,Education,6,"88,900"
You can make creative that converts like crazy even if you just have boring product photos like this.,You can make [X creative] that converts like crazy even if you just have [Y starting materials],Educational/Tutorial,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7310271573418691882,Content Marketing,Education,7,"84,200"
You're making your Facebook ads and your Instagram ads creative wrong.,You're making your [X platform] ads and your [Y platform] ads creative wrong,Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7245087248822062378,Content Marketing,Education,8,"75,700"
"This ad is causing a ton of controversy on my Instagram, so I want to get your guys' opinion. You can be mom of the year and the woman you'd never want your kid to date.","This ad is causing a ton of controversy on my [X platform], so I want to get your guys' opinion. [Y controversial statement]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7265737847267904814,Content Marketing,Entertainment,9,"66,400"
There are tons of amazing images that convert like crazy on Facebook ads. So let me show you a few of my favorites.,There are tons of amazing [X content] that convert like crazy on [Y platform] ads. So let me show you a few of my favorites,Secret Reveal,"Creator A-Roll, Image Screenshots",A-Roll - Slow Zoom,Full screen A-roll (in studio),Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.tiktok.com/@daradenney/video/7241243428799925546,Content Marketing,Education,10,"58,700"
"Planes used to have vibe, now they don't. Cars used to have vibe, now they don't. Houses used to have vibe, now they don't. But good design is about creating a feeling.","[X] used to have vibe, now they don't. [Y] used to have vibe, now they don't. [Z] used to have vibe, now they don't. But good design is about creating a feeling",Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/hansloreidesign/reel/C5rJryFoZZH/,Content Marketing,Entertainment,1,"20,975,904"
What happened to aesthetic gyms? Now everything is so efficient and serious. What used to be aspirational has turned into clinical. It's time to rewrack aesthetics into their rightful place.,What happened to aesthetic [X places]? Now everything is so [Y state]. What used to be [Z positive] has turned into [negative]. It's time to [action],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/hansloreidesign/reel/DA_7YdHo3S2/,Content Marketing,Entertainment,2,"3,661,539"
